steering,throttle,brake,speed
-0.2,0.1918652,0.0,8.120876
-0.2,1.0,0.0,15.07159
0.2,0.0,0.0,4.406492
0.2,0.0,0.0,11.13432
0.7492139,0.0,0.0,8.703674
-0.0,0.14511,0.0,9.39391
-0.2,0.0,0.0,11.55706
-0.3650749,0.0,0.0,9.032318
-0.2,0.0,0.0,13.55539
-0.2,0.0,0.0,11.30649
0.192253,0.0,0.0,7.734329
0.2,0.8281569,0.0,27.50146
0.2,0.459811,0.0,30.05938
-0.8,0.0,0.0,7.011175
-0.2,0.0,0.0,13.75473
0.2,0.0,0.0,10.96413
-0.2,0.0,0.0,13.45522
0.2,0.0,0.0,16.47434
-0.2,0.1822411,0.0,10.13523
-0.2,0.1970583,0.0,14.82653
-0.7489618,0.0,0.0,8.012284
-0.2,0.3497921,0.0,16.24397
0.2,0.443884,0.0,13.77295
0.2,0.0,0.0,7.351246
-0.2,0.4254688,0.0,10.25129
0.26937194000000003,0.0,0.0,8.990172
0.2,0.0,0.0,9.616932
-0.195502234,0.0,0.0,5.105177
0.2,0.0,0.0,18.9017
0.30498089999999994,0.0,0.0,7.343974
0.2,0.0,0.0,13.99799
0.2,0.0,0.0,10.89378
-0.2,0.1669589,0.0,18.33433
0.2,0.3077731,0.0,14.9082
0.1650749,0.0,0.0,9.032318
-0.2,0.0,0.0,13.76891
0.0,0.0,0.0,14.80905
-0.2,0.0,0.0,7.561852
0.2,0.0,0.0,8.390219
0.2,0.0,0.0,8.940893
0.7247026999999999,0.0,0.0,6.075409
-0.2,0.0,0.0,9.419755
0.0,0.0,0.0,9.448331
-0.1832668,0.0,0.0,10.69378
0.2,0.1959186,0.0,6.434129
-0.2,0.0,0.0,7.939982
-0.2,0.1340371,0.0,14.26171
-0.2,0.0,0.0,5.997533
0.2,0.8949813,0.0,15.58366
0.28276118,0.0,0.0,10.03654
-0.9489618,0.0,0.0,8.012284
0.2,0.0,0.0,12.23406
0.7710718,0.0,0.0,5.546126
0.5049627,0.0,0.0,10.15409
-0.2,0.144486,0.0,7.193975
-0.0,0.0,0.0,11.11876
0.621944,0.0,0.0,6.289523
-0.2,0.09098089,0.0,15.44982
-0.2,0.01273572,0.0,13.99067
-0.3975693,0.4636828,0.0,7.128476
0.117048,0.0,0.0,9.293814
0.2,0.0,0.0,20.39876
-0.6322589,0.0,0.0,8.074367
0.140625,0.0,0.0,9.646307
0.2,0.0,0.0,10.55193
0.2,0.5080587,0.0,15.60348
-0.2,0.1762712,0.0,7.409156
-0.6504699,0.0,0.0,8.335176
0.2,0.0,0.0,15.55532
0.2,0.2209561,0.0,5.4587
0.2,0.0,0.0,11.25031
-0.38856679999999993,0.0,0.0,10.52107
-0.2,0.0,0.0,13.22272
0.2,0.0,0.0,7.22076
0.0,0.3791789,0.0,9.434426
-0.2,0.4391252,0.0,16.57057
-0.2,0.0,0.0,20.76665
-0.147859,0.0,0.0,7.948399
-0.2,0.0,0.0,15.03601
0.19669086900000002,0.0,0.0,10.65995
-0.2,0.0,0.0,12.63062
-0.2,0.0,0.0,9.88007
0.2,0.0,0.0,9.88652
0.4547668,0.0,0.0,10.92411
-0.2,0.0,0.0,14.56005
-0.2,0.0,0.0,9.355853
0.2,0.0,0.0,17.79911
0.0,0.0,0.0,9.945887
0.0,0.0,0.0,13.8005
